crop,value
cacoa, 17.9
cassava, 16.4
cocoyam, 10.4
eggplant, 2.1
maize, 9.5
okra, 2.5
palm, 3.5
pepper, 4.9
plantain, 16
rice, 1
yam, 5.4
tomatoes, 3.5
