crop,value
cacoa, 20.7
cassava, 17.5
cocoyam, 9.7
eggplant, 1.3
maize, 9.2
okra, 2.2
palm, 2.9
pepper, 4.2
plantain, 17
rice, 1.1
yam, 4.7
tomatoes, 4.7
