crop,value
cacoa, 19
cassava, 16
plantain, 15
cocoyam, 9
maize, 9
pepper, 6
yam, 5
oranges, 5
tomatoes, 4
okra, 3
eggplant, 2
palm, 2
rice, 2
chili, 1
other, 5
