crop,value
cacoa, 19
cassava, 16
plantain, 16
maize, 9
cocoyam, 9
pepper, 5
yam, 5
tomatoes, 4
okra, 3
palm, 3
eggplant, 2
rice, 1
chili, 1
coconut, 1
other, 6
