PPI ;Hectare;Avocado;Bananas;Soyabeans;Beans;Cabbages;Carrots;Cashews;Cacao;Cassava;Chili;Coconut;Cocoyam;Cow Pea;Coffee;Eggplant;Fodder;Garlic;Ginger;Groundnuts;Lime;Maize;Mango;Millet;Okra;Onions;Oranges;Palm;Papaya;Peas;Pepper;Pineapple;Plantain;Irish potato;Sweet potato;Rice;Rubber;Sugar Cane;Tangerine;Tomatoes;Watermelon;Yam;Other
0 - 28;4;;;;;;;;28,30%;22,00%;0,50%;0,50%;10,30%;;;1,90%;;;0,10%;0,10%;;11,50%;;;4,10%;0,40%;;2,60%;;;5,90%;0,40%;8,30%;;;1,90%;0,30%;0,20%;;;;;
29 - 35;4,7;0,1;0,2;0,1;0,2;0,1;;0,5;18,7;15,8;0,7;0,4;9,4;;;2,3;;;0,1;0,3;0,1;8,7;;;3,2;0,4;6;2,1;;;6,3;0,8;14,9;;0,1;1,5;0,4;0,4;;4,4;;5,3;0,3
36-43;4,9;;1,4;;0,1;0,06;;0,9;19,7;16,4;0,3;0,7;8,5;;;1,6;;0,06;0,06;0,3;;9,8;;;2,7;0,4;0,5;2,6;0,06;0,06;5,3;0,3;16,1;0,06;0,06;1,2;0,5;0,3;;4,1;;4,7;1
44 - 53;5,6;1;1,1;0,1;0,3;0,3;0,05;0,06;18,9;16;0,4;0,6;9,1;0,05;;2,2;;;0,4;0,1;;9;;;2,8;0,3;1;3;;0,05;5,2;0,7;15,8;0,05;;1,1;0,5;0,3;0,05;4,2;;4,8;0,5
54 - 62;3,1;0,07;1,4;0,07;0,07;0,07;0,07;0,9;17,9;16,4;0,6;0,8;10,4;;;2,1;;;1,2;0,2;;9,5;0,07;;2,5;1,2;0,6;3,5;0,07;;4,9;0,5;16;0,07;;1;0,2;;0,07;3,5;;5,4;0,8
63 - 98;4;0,1;0,9;0,2;0,1;;0,1;0,6;20,7;17,5;0,2;0,5;9,7;;0,1;1,3;0,1;0,1;0,1;;;9,2;;0,1;2,2;;0,9;2,9;0,1;0,1;4,2;0,4;17;;;1,1;0,7;;;2,7;0,2;4,7;1
